PERSONS_TEMP,BAD_PHONE,
PERSONS_TEMP,DECEASED,
PERSONS_TEMP,DO_NOT_CALL,
PERSONS_TEMP,DO_NOT_EMAIL,
PERSONS_TEMP,DO_NOT_MAIL,
PERSONS_TEMP,NEW_RETURNING,
PERSONS_TEMP,REDUCED_LUNCH,
PERSONS_TEMP,SEND_ALERT,
PERSONS_TEMP,STUDENT,
PROGRAM_TYPES,ACTIVE,
RATINGS,ACTIVE,
RATINGS,TESTABLE,
SHOPPING_CART_DONATIONS,IS_ANON,
SHOPPING_CART_MEMBERSHIPS,HAS_JP_CLASS_RESERVATIONS,
SHOPPING_CART_MEMBERSHIPS,SPEC_NEEDS_APPROVED,
SHOPPING_CART_MEMBERSHIPS_ARCH,HAS_JP_CLASS_RESERVATIONS,
SHOPPING_CART_MEMBERSHIPS_ARCH,SPEC_NEEDS_APPROVED,
SIGNOUTS,DID_CAPSIZE,
SIGNOUTS,IS_QUEUED,
SIGNOUTS,OLD_RUN_AGROUND,
SIGNOUTS_DEBUG,DID_CAPSIZE,
SIGNOUTS_DEBUG,IS_QUEUED,
SIGNOUTS_DEBUG,OLD_RUN_AGROUND,
STAGGERED_PAYMENTS_READY,FAILED_CRON,
STRIPE_TOKENS,ACTIVE,
SWIM_PROOF_METHODS,ACTIVE,
SYMON_SCHEDULE,DISABLED,
TABLE_INFO,HAS_PERSON_ID,
TABLE_INFO,IS_LOOKUP,
TAGS,ACTIVE,
UAP_GROUPS,ACTIVE,
USERS,ACTIVE,
USERS,HIDE_FROM_CLOSE,
USERS,LOCKED,
USERS,PW_CHANGE_REQD,
USERS_PREFERENCES,VALUE_FAKEBOOLEAN,
VERIFY_EMAIL_REQS,IS_VALID,
YEARLY_DATE_ITEMS,ALERT_IF_UNSET,
YEARLY_DATE_ITEMS,VAL_IF_UNDEF,
